46|Gonza Delgado tratando de resucitar desde Brasil|https://cdn.dl.uy//solmp3/13671.mp3|None|2019.06.30-12:00:00|False||0|0|35
47|El colectivo de Brasil le ganó a una Argentina que luchó|https://cdn.dl.uy//solmp3/13737.mp3||2019.07.02-12:00:00|False||0|0|35
48|Ep222: Simular Universo en IA; Hiperactividad y Cerebro; Estrellas Pulsantes; Meteoritos Marcianos; 2º FRB localizado!|http://www.ivoox.com/ep222-simular-universo-ia-hiperactividad-cerebro_mf_38023907_feed_1.mp3||2019.07.04-21:34:31|False||82349706|0|8
49|Ep221: Serie Chernobyl; Energía Oscura/Gravedad Cuántica; Nuevos Exoplanetas; Más Metano en Marte; Seres Pluricelulares|http://www.ivoox.com/ep221-serie-chernobyl-energia-oscura-gravedad-cuantica-nuevos-exoplanetas_mf_37684881_feed_1.mp3||2019.06.27-21:11:48|False||78840520|0|8
50|#104 Hello Ads!|https://tracking.feedpress.it/link/18898/10503084/EstoConJobsNoPasaba104.mp3||2018.10.07-07:32:31|False||167956080|0|26
52|El Primer Palo (04/07/19): Programa completo|http://audios.esradio.fm/deportes/19/07/05/el-primer-palo-04-07-19-programa-completo-138372.mp3?aw_0_req.gdpr=false|Comentario de Juanma sobre Messi. Tertulia con Ilie Oleart y Paul Tenorio. K2 con César Pérez de Tudela. |2019.07.05-00:21:53|False||89899288|0|42
53|Ernesto y los pectorales ciclópeos de Abril|https://audios.oceanofm.com/programas/DeArribaunRayo/18-05-08ernesto.mp3||2018.05.08-12:00:00|False|18-05-08ernesto.mp3|18507131|0|36
54|Ernesto y el malvón de Majo|https://audios.oceanofm.com/programas/DeArribaunRayo/18-09-18ernesto.mp3||2018.09.18-12:00:00|False||10742285|0|36
55|Se mamó Ernesto|https://audios.oceanofm.com/programas/DeArribaunRayo/18-10-04ernesto.mp3||2018.10.04-12:00:00|False||6397808|0|36
56|Ernesto es inocente|https://audios.oceanofm.com/programas/DeArribaunRayo/18-10-16ernestoypepperadeclarar.mp3||2018.10.16-12:00:00|False||10156306|0|36
57|Ernesto el grande|https://audios.oceanofm.com/programas/DeArribaunRayo/18-10-23ernesto.mp3||2018.10.23-12:00:00|False||8038507|0|36
58|Ernesto y la ropa interior de Majo|https://audios.oceanofm.com/programas/DeArribaunRayo/18-10-30ernesto.mp3||2018.10.30-12:00:00|False||10873838|0|36
60|Ernesto hace la cola|https://audios.oceanofm.com/programas/DeArribaunRayo/18-11-13ernestohacelacola.mp3||2018.11.13-12:00:00|False||9256336|0|36
61|Ernesto el bello|http://audios.oceanofm.com/programas/DeArribaunRayo/18-12-11ernestoelbello.mp3||2018.12.11-12:00:00|False||10671650|0|36
62|Ernesto el portero|http://audios.oceanofm.com/programas/DeArribaunRayo/19-04-02ernesto.mp3|La invasión entró en receso y el robot que vino a "estudiar" nuestro mundo se embarcó en un nuevo divertimento que lidia entre el chusmerío y el espionaje.|2019.04.02-12:00:00|False||6800930|0|36
63|La encuesta de ErnABELARDO|http://audios.oceanofm.com/programas/DeArribaunRayo/19-06-24ernesto.mp3|Con toda la maquinaria forzada, el encuestador que vino a interrogar nuestro mundo llamó a los rayitos con una sospechosa batería de preguntas.|2019.06.24-12:00:00|False|19-06-24ernesto.mp3|12130328|0|36
64|Network Break 241: Extreme Buys Aerohive; Sloppy BGP Plumbing Causes Route Leak|https://tracking.feedpress.it/link/12487/12405389/NB_241_Extreme_Buys_Aerohive_Sloppy_BGP_Plumbing_Causes_Route_Leak.mp3|Extreme Networks spends approx. $227 million to buy Aerohive Networks to add a cloud-managed WLAN to its portfolio, a route leak resulted in cascading failures on June 24th, Oracle will retire Dyn managed DNS services, Mist Systems rolls out a new 11ax AP, and more tech news on today's Network Break podcast.|2019.07.01-18:02:11|False||37334297|0|27
65|A8M #774|http://tracking.feedpress.it/link/17056/11644987/A8M201906071249.mp3|Hub USBC Satechi. Salidas Jack 3.5mm, HDMI, USB A 3.0 y USBC para cargar &#8211; 58,78€ Infuse 6 Pro &#8211; 28€|2019.06.07-10:49:23|False||5242880|0|30
66|AaS! 107: Is interstellar travel possible?|https://traffic.libsyn.com/secure/askaspaceman/aas107.mp3?dest-id=234448||2019.07.02-11:00:00|False||27144529|0|18
67|AaS! 106: How do we measure the expansion of the universe?|https://traffic.libsyn.com/secure/askaspaceman/aas106.mp3?dest-id=234448||2019.06.18-11:00:00|False||26307251|0|18
68|Catástrofe Ultravioleta 24 - DISONANCIA|http://www.ivoox.com/catastrofe-ultravioleta-24-disonancia_mf_25776957_feed_1.mp3|En este último capítulo de la 2ª temporada nos proponemos descubrir las razones por las que a nuestro cerebro le gustan |2018.05.04-08:58:00|False||58204973|0|28
69|Catástrofe Ultravioleta 23 - TOTALIDAD|http://www.ivoox.com/catastrofe-ultravioleta-23-totalidad_mf_24623729_feed_1.mp3|El pasado 21 de agosto de 2017 tuvo lugar uno de los eclipses totales de Sol más seguidos de la historia. Millones de pe|2018.03.20-05:17:42|False||49042877|0|28
70|El Chiringuito de Jugones 02.07.2019|http://gb.ivoox.com/en/chiringuito-jugones-02-07-2019_mf_37958516_feed_1.mp3|Reunión periódica en televisión de periodistas y gente interesada en deportes para debatir, compartir y contrastar notic|2019.07.03-08:40:23|False||65024554|0|29
72|EG.732 KMLN|http://www.electronicgroove.com/Podcast/eg732.mp3|EG.732 KMLN|2019.04.22-00:00:00|False|eg732.mp3|90911868|0|11
73|EG.731 Tolinchilove|http://www.electronicgroove.com/Podcast/eg731.mp3|EG.731 Tolinchilove|2019.04.15-00:00:00|False|eg731.mp3|88289841|0|11
