22|This Week in Tech|TWIT.png|USA|Hosted by Leo Laporte Your first podcast of the week is the last word in tech. Join the top tech pundits in a roundtable discussion of the latest trends in high tech|Tecnologia|3|http://feeds.twit.tv/twit.xml||https://twit.tv/shows/this-week-in-tech|/Podcasts/Tecnologia/TWIT|TWIT|0|False
23|Talk Python To Me|TalkPython.png|USA|A podcast on Python and related technologies|Program|3|https://talkpython.fm/episodes/rss||None|/Podcasts/Program/TalkPython||0|False
24|Song Explorer|SongExplorer.png|USA||Music|2|http://feed.songexploder.net/songexploder||None|/Podcasts/Music/SongExplorer||0|False
25|The Album Club|TheAlbumClub.png|USA||Music|2|http://www.podcasts.com/rss_feed/b1036836c6dbdf10124d4a603ab87525||None|/Podcasts/Music/TheAlbumClub||0|False
26|Esto Con Jobs No Pasaba|EstoConJobsNoPasaba.jpg|Spain|El programa de Tecnología, donde no sólo se habla de Tecnología.|Tecnologia|3|https://feedpress.me/conjobsno||None|/Podcasts/Tecnologia/EstoConJobsNoPasaba|AVPodcast|0|False
27|Packet Pushers|PacketPushers.jpg|USA||Tecnologia|3|https://feeds.packetpushers.net/packetpushersfatpipe||None|/Podcasts/Tecnologia/PacketPushers||0|False
28|Catastrofe Ultravioleta|Ultravioleta.png|Spain|Catástrofe Ultravioleta, el nuevo podcast de ciencia de Javier Peláez y Antonio Martínez Ron, con el apoyo de la Cátedra de Cultura Científica de la UPV/EHU y la Fundación Euskampus.|Ciencia|3|http://www.ivoox.com/podcast-catastrofe-ultravioleta_fg_f1107209_filtro_1.xml|http://feeds.the2rods.com/feed/catastrofe|http://catastrofeultravioleta.com/|/Podcasts/Ciencia/Ultravioleta||0|False
29|El Chiringuito de Jugones|Chiringuito.png|Spain|Tertulia futbolistica de Mega|Sports|2|https://www.ivoox.com/chiringuito-jugones_fg_f1617621_filtro_1.xml||None|/Podcasts/Deportes/Chiringuito||0|False
30|Appsmac en 8 minutos|AppsMac.png|Spain|Aplicaciones para iPhone, iPad o Mac y experiencias de un usuario de OS X en movilidad.|Tecnologia|3|http://feedpress.me/A8M||None|/Podcasts/Tecnologia/AppsMac|Av Podcast|0|False
31|Daniel and Jorge|DanielAndJorge.png|USA|A fun-filled discussion of the big, mind-blowing, unanswered questions about the Universe. Daniel Whiteson (a Physicist who works at CERN) and Jorge Cham (a popular online cartoonist).|Ciencia|3|https://feeds.megaphone.fm/danielandjorgeexplaintheuniverse|http://feeds.the2rods.com/feed/danielandjorge|https://www.danielandjorge.com/|/Podcasts/Ciencia/DanielAndJorge||0|False
32|Coqueto Escenario|CoquetoEscenario.png|Uruguay|Periodista deportivo nacido en 1931. En Uruguay. Menos proceso y más pierna fuerte.|Oceano|4|https://www.oceano.uy/api/podcast.php|http://feeds.the2rods.com/feed/luboadusto|https://www.oceano.uy/todopasa/137-coqueto-escenario|/Podcasts/Oceano/Coqueto|Oceano|0|False
